industry,year,t,gross_output_cp,va_cp,energy_cp,material_cp,number_employed,lab_quality,capital_stock_cp,services_cp
11,1989,10,"1,70,876","54,536",32717,78514,"2,638",111.7,"1,46,916",31852
12,1989,10,"54,343","24,958",3228,27509,578,121.07,"36,157",13255
13,1989,10,"21,825","9,011",1354,10992,763,107.17,"37,804",9515
14,1989,10,"76,215","19,154",5042,41597,764,113.87,"38,456",21725
15,1989,10,"9,598","5,959",413,3056,"2,920",106.36,"33,793",1538
16,1989,10,"1,39,618","46,833",43538,42693,"1,108",105.26,"6,77,272",26033
17,1989,10,"3,90,015","1,53,146",7396,115916,"12,617",104.95,"69,967",71033
18,1989,10,"2,29,255","1,64,694",5047,7555,"24,478",106.58,"82,889",47727
19,1989,10,"59,406","14,663",4869,30648,"3,121",102.67,"23,313",7213
20,1989,10,"1,59,765","83,346",47583,19041,"8,635",105.83,"5,48,368",27828
21,1989,10,"20,575","7,881",4893,5639,601,104.46,"60,701",11673
22,1989,10,"1,07,846","83,455",2082,1611,"1,639",107.14,"1,08,862",12152
23,1989,10,"49,653","31,110",622,2070,964,101.88,"61,223",9663
24,1989,10,"1,96,830","1,41,738",952,6938,"9,795",107.52,"8,32,195",38166
25,1989,10,"48,163","42,568",208,4143,"5,361",105.17,"28,348",1995
26,1989,10,"37,993","16,296",723,17303,"1,890",109.37,"13,626",7209
27,1989,10,"3,30,370","2,84,348",533,24926,"10,111",111.13,"17,95,734",6511
1,1990,11,"10,93,432","8,11,417",20543,215278,"2,23,726",103.01,"14,02,698",46193
2,1990,11,"2,00,373","1,28,109",10368,10122,"2,446",112.52,"1,23,278",7984
3,1990,11,"1,61,125","43,853",3188,85216,"8,094",106.86,"1,71,295",23897
4,1990,11,"1,19,263","42,487",9350,50945,"11,853",106.84,"97,965",33418
5,1990,11,"38,500","19,388",514,6201,"3,107",94.43,"13,718",2825
6,1990,11,"36,908","14,546",2999,11230,957,110.62,"2,12,838",5505
7,1990,11,"3,58,032","38,392",7143,418605,93,105.17,"20,970",4125
8,1990,11,"1,53,486","42,966",10743,39496,"1,476",113.42,"1,23,640",18893
9,1990,11,"25,434","9,343",2891,14060,471,113.95,"21,309",9350
10,1990,11,"59,777","26,063",13204,8535,"3,082",113.02,"41,065",9876
11,1990,11,"1,88,500","61,996",34320,87209,"2,662",113.08,"1,62,172",34428
12,1990,11,"58,080","24,532",3997,31409,616,123.67,"39,783",15172
13,1990,11,"26,176","9,250",1833,14825,797,107.99,"40,773",11072
14,1990,11,"80,818","21,064",5790,43721,781,115.52,"40,501",23762
15,1990,11,"10,442","6,097",478,3432,"2,988",107.09,"35,147",1598
16,1990,11,"1,48,687","49,964",51495,47024,"1,110",105.86,"7,24,168",28195
17,1990,11,"4,56,431","1,71,198",8614,139715,"12,919",105.52,"76,049",83314
18,1990,11,"2,37,940","1,73,017",5844,8839,"25,411",107.34,"90,135",45531
19,1990,11,"63,325","15,779",4702,32100,"3,167",102.97,"25,048",8436
20,1990,11,"1,73,345","87,248",52732,21412,"8,918",106.5,"5,63,914",31728
21,1990,11,"21,761","8,403",7078,6029,638,104.97,"66,425",12199
22,1990,11,"1,08,876","85,097",2108,1888,"1,757",107.97,"1,16,244",12302
23,1990,11,"56,203","34,984",756,3021,"1,032",102.09,"69,958",10347
24,1990,11,"1,99,334","1,43,540",1032,7134,"9,834",108.39,"8,67,355",38820
25,1990,11,"52,493","46,142",234,4573,"5,625",105.76,"31,299",2565
26,1990,11,"41,035","18,014",758,18368,"1,935",110.47,"15,278",8477
27,1990,11,"3,54,568","3,06,187",605,26047,"10,881",112.44,"18,89,933",6412
1,1991,12,"10,82,536","7,95,575",24446,209948,"2,28,633",103.31,"14,36,227",52567
2,1991,12,"2,12,104","1,32,410",10885,10668,"2,493",113.86,"1,28,969",8301
3,1991,12,"1,64,390","44,057",3358,86206,"8,410",107.58,"1,79,969",26902
4,1991,12,"1,16,024","41,272",8552,46422,"11,640",107.54,"1,06,713",33446
5,1991,12,"37,475","18,248",500,5657,"3,159",93.89,"13,978",2608
6,1991,12,"39,873","15,233",3634,12452,960,111.74,"2,19,120",6503
7,1991,12,"3,39,511","37,168",7765,368057,94,105.71,"23,465",7434
8,1991,12,"1,60,480","44,038",11262,41868,"1,547",114.86,"1,30,059",20640
9,1991,12,"31,885","9,919",3577,16919,518,115.45,"25,680",10919
10,1991,12,"64,259","27,436",14662,9691,"3,116",114.41,"42,950",11614
11,1991,12,"2,07,095","64,131",34317,94156,"2,687",114.48,"1,83,546",36391
12,1991,12,"58,226","22,409",4533,32953,658,126.32,"43,076",16148
13,1991,12,"23,549","7,788",1787,13974,834,108.83,"43,375",9545
14,1991,12,"81,074","20,774",6319,43915,798,117.2,"42,605",24863
15,1991,12,"9,958","5,440",489,3372,"3,058",107.83,"36,391",1472
16,1991,12,"1,62,812","54,809",56149,51254,"1,111",106.46,"7,76,875",31056
17,1991,12,"4,12,854","1,74,723",7479,119755,"13,252",106.08,"78,495",72873
18,1991,12,"2,36,404","1,73,971",6364,9539,"26,386",108.1,"94,524",41720
19,1991,12,"63,222","15,902",4061,30936,"3,214",103.27,"27,306",9404
20,1991,12,"1,90,927","92,591",58620,23410,"9,210",107.18,"5,83,785",36009
21,1991,12,"23,186","9,024",9617,6129,678,105.48,"72,498",12866
22,1991,12,"1,24,883","98,578",2310,2366,"1,884",108.8,"1,27,271",13922
23,1991,12,"59,521","36,807",843,3912,"1,105",102.31,"76,503",10015
24,1991,12,"2,03,514","1,46,551",1146,7373,"9,874",109.27,"9,01,395",39950
25,1991,12,"54,398","47,555",249,4476,"5,902",106.36,"33,886",3110
26,1991,12,"40,842","18,339",724,18208,"1,981",111.57,"16,689",9190
27,1991,12,"3,80,298","3,29,491",659,26642,"11,727",113.76,"19,52,690",6037
1,1992,13,"11,33,414","8,48,488",26742,200938,"2,33,650",103.62,"14,88,748",57246
2,1992,13,"2,17,100","1,33,629",11555,11814,"2,541",115.21,"1,32,642",9088
3,1992,13,"1,81,173","44,775",3661,96100,"8,739",108.29,"1,90,320",32312
4,1992,13,"1,20,924","41,617",8461,48982,"11,435",108.26,"1,17,168",37449
5,1992,13,"32,139","16,337",792,8809,"3,214",93.35,"14,349",4073
6,1992,13,"32,244","12,010",3230,10287,963,112.88,"2,24,853",5886
7,1992,13,"2,62,637","38,714",6681,261673,96,106.24,"25,508",4786
8,1992,13,"1,72,452","51,836",11299,43952,"1,622",116.32,"1,36,198",22366
9,1992,13,"31,681","10,642",3250,14967,570,116.97,"29,335",9828
10,1992,13,"61,595","23,545",13877,10195,"3,152",115.82,"46,843",11912
11,1992,13,"2,15,393","60,828",34188,102008,"2,713",115.9,"2,00,772",39252
12,1992,13,"64,872","24,669",5358,36769,704,129.04,"47,965",18390
13,1992,13,"24,491","8,026",1939,14934,874,109.67,"46,522",9200
14,1992,13,"81,445","19,457",6614,43080,816,118.91,"45,703",25715
15,1992,13,"15,071","7,727",789,5217,"3,131",108.57,"38,531",2185
16,1992,13,"1,73,797","58,612",60743,57487,"1,113",107.07,"8,18,965",34716
17,1992,13,"4,65,027","1,80,806",8244,133694,"13,617",106.66,"83,824",83775
18,1992,13,"2,47,615","1,84,389",7199,10079,"27,403",108.87,"1,00,331",41069
19,1992,13,"66,666","16,925",3515,32915,"3,262",103.57,"29,478",10716
20,1992,13,"2,06,019","96,128",67276,26696,"9,513",107.85,"6,02,571",41581
21,1992,13,"25,934","10,173",13652,6665,721,105.99,"81,102",14268
22,1992,13,"1,26,958","1,01,203",1913,2188,"2,020",109.63,"1,34,587",12496
23,1992,13,"64,160","39,414",967,4976,"1,183",102.52,"85,919",10581
